"DisplayName","Nationality"
"Ada V. Gabriel","American"
"Wanda Gág","American"
"Alexander Gardner","American"
"Walter Gay","American"
"Minna R. Harkavy","American"
"William M Harnett","American"
"Alfred A. Hart","American"
"Herbert Haseltine","American"
"Eugène Higgins","American"
"Lewis W. Hine","American"
"William Morris Hunt","American"
"Thomas H. Ince","American"
"Eastman Johnson","American"
"Buster Keaton","American"
"Armin Landeck","American"
"Dorothea Lange","American"
"Arthur Lee","American"
"Russell Lee","American"
"Martin Lewis","American"
"Louis Lozowick","American"
"Samuel Finley Breese Morse","American"
"Elie Nadelman","American"
"Raphaelle Peale","American"
"Joseph Pennell","American"
"Robert Riggs","American"
"Doris Rosenthal","American"
"Ernest David Roth","American"
"Arthur Rothstein","American"
"Andrew Joseph Russell","American"
"C. R. Savage","American"
"Southworth and Hawes","American"
"Peter Stackpole","American"
"Albert Sterner","American"
"George Stevens","American"
"Willard Van Dyke","American"
"William Vandivert","American"
"Erich von Stroheim","French"
"Carl Walters","American"
"Stow Wengenroth","American"
"Levon West","Nationality unknown"
"Sam Wood","American"
"Mahonri M. Young","American"
"Edward Durell Stone","American"
"George Nelson","American"
"Gordon Bunshaft","American"
"Percival Goodman","American"
"Eero Saarinen","American"
"Paul Lester Wiener","American"
"Cambridge Glass Company, Cambridge, OH","American"
"The Christy Co., Freemont, OH","American"
"Kensington, Inc., New Kensington, PA","American"
"Landers, Frary & Clark, New Britain, CT","American"
"Libbey Glass Company Division, Owens-Illinois Co., Toledo, OH, established 1818","American"
"Carlo Scarpa","Italian"
"G.M. Thurnauer Co., Czechoslovakia","Czech"
"Paolo Venini","Italian"
"Volupte Inc.","American"
"Albert Eugene Gallatin","American"
"Adams-Teltscher, Georg","Austrian"
"Anni Albers","American"
"Josef Albers","American"
"Mordecai Ardon (Ardon-Bronstein)","Israeli"
"Hannes Beckmann","American"
"Otti Berger","Yugoslav"
"Max Bill","Swiss"
"Theodor Bogler","German"
"Marianne Brandt","German"
"Hin Bredendieck","German"
"Peer Bücking","German"
"Christian Dell","German"
"Erich Dieckmann","German"
"Franz Ehrlich","German"
"Werner David Feist","German"
"Gustav Hassenpflug","German"
"Albrecht Heubner","German"
"Ludwig Hirschfeld-Mack","German"
"Hubert Hoffmann","German"
"Johannes Itten","Swiss"
"Carl Jakob Jucker","Swiss"
"Peter Keler","German"
"Juliet Kepes","American"
"Otto Lindig","German"
"Heinz Loew","German"
"Else Mögelin","German"
"Farkas Molnár","Hungarian"
"Oscar Niemeyer","Brazilian"
"Karl Otten","German"
"Gyula Pap","Hungarian"
"Hans Przyrembel","German"
"Otto Rittweger","German"
"Karl-Peter Röhl","German"
"Alfred Roth","Swiss"
"Kurt Schmidt","German"
"Alma Siedhoff-Buscher","German"
"Naum Slutzky","Ukrainian"
"Gunta Stölzl","Swiss"
"Wolfgang Tümpel","German"
"Marguerite Wildenhain","American"
"Fritz Winter","German"
"Charles Bulfinch","American"
"Philip L. Goodwin","American"
"Wallace K. Harrison","American"
"Thomas Jefferson","American"
"Peter Pfisterer","Swiss"
"Hugh Stubbins Jr.","American"
